"Tipo","horario","Nombre","Base","Departamento","Dirección","x","y",""
"SAMU","24H","ALFA 1","H.C. VINAROZ","1","Avinguda Gil d'Atrosillo, 14, 12500 Vinaròs, Castelló","40.46354771","0.45052528",""
"SAMU","24H","ALFA 2","C.S. MORELLA","1","Barri Hostal Nou, 10, 12316 Morella, Castelló","40.61221719","-0.09692431",""
"SAMU","24H","ALFA 3","H. GENERAL CASTELLON","2","Avinguda de Benicàssim, 128, 12004 Castelló de la Plana, Castelló","40.00374198","-0.04213214",""
"SAMU","24H","ALFA 4 ","H. MAGDALENA","2","Cuadra Collet, Partida Bovalar, 32, 12004 Castellón de la Plana, Castellón","40.00496507","-0.07424355",""
"SAMU","24H","ALFA 5","C.S. VALL D´UXO","3","Polígon Vernitxa la Calle F, 4-6, 12600 La Vall d'Uixó, Castelló","39.81152415","-0.23070216",""
"SAMU","24H","ALFA 6","C.S. SEGORBE","4","Calle Valentín Galarza, 0 S/N, 12400 Segorbe","39.84794855","-0.49154162",""
"SAMU","24H","ALFA 7","C.S. VILAFRANCA","1","Avinguda Llosar, 154, 12150 Vilafranca, Castelló","40.43024540","-0.26082873",""
"SAMU","24H","ALFA 8","C.S. OROPESA","2","Carrer de Torreblanca, 14, 12594 Orpesa, Castelló","40.09579539","0.13784409",""
"SAMU","12H","ALFA 9","AERÓDROMO GRAO","2","C/ del Mascarat, 18, 12100, Castellón","39.99551296","0.0209963322",""
"SAMU","12H","ALFA 10","C.S. TORREBLANCA","2","Carrer Galicia, 36, 12596 Torreblanca, Castelló","40.21893024","0.1949107647",""
"SAMU","24H","ALFA 11","C.S. SAN MATEO","1","Av. de la Constitució, 29, 12170 Sant Mateu, Castelló","40.46125174","0.179246664",""
"SVB","24H","BRAVO 1","H.C. VINAROZ","1","Avinguda Gil d'Atrosillo, s/n, 12500 Vinaròs, Castelló","39.97720957","0.0154280663",""
"SVB","12H","BRAVO 2","C.S. ALCOCEBRE","1","Carrer de Sant Josep, 97, 12579 Alcossebre, Castelló","40.24524808","0.2764499187",""
"SVB","24H","BRAVO 3","C.S. VILARREAL","3","Carrer Illes Columbretes, s/n, 12540 Vila-real, Castelló","39.96246815","-0.26856422",""
"SVB","24H","BRAVO 4","C.S. VALL D´ALBA","2","Carrer la Senieta, 12194 la Vall d'Alba, Castelló","40.17343998","-0.03329158",""
"SVB","24H","BRAVO 5","C.S. MONTANEJOS","3","Calle Carr. de Valencia, 50, 12448 Montanejos, Castellón","40.06628036","-0.52652836",""
"SVB","24H","BRAVO 6","C.S. BENICARLO","1","Carrer dels Boters, 15, 12580 Benicarló, Castelló","40.41374445","0.42366028",""
"SVB","12H","BRAVO 7","C.S. BENICASIM","2","Carrer Carles Salvador, 1, 12560 Benicàssim, Castelló","40.05130133","0.05886649",""
"SVB","24H","BRAVO 8","C.S.9 OCTUBRE CASTELLON","2","Carrer Trullols, 3, 12001 Castelló de la Plana, Castelló","39.98617888","-0.04134893",""
"SVB","24H","BRAVO 9","C.S. BURRIANA","3","C. Albert Einstein, 12530 Burriana, Castellón","39.89521980","-0.08860946",""
"SVB","24H","BRAVO 10","C.S. MORELLA","1","Plaça de la Constitució, 24, 25, 12330 Traiguera, Castelló","40.5225777626","0.2899682522",""
"SVB","24H","BRAVO 11","C.S. ALBOCACER","2","C. Huerta, 22, 12140 Albocàsser, Castellón","40.35564780","0.0273263454",""
"SVB","24H","BRAVO 12","C.S. ALCORA","2","Carrer de L'Excel-Lentíssima Diputació, 12110 L'Alcora, Castelló","40.0735759735","-0.21111131",""
"SVB","24H","BRAVO 13","C.S. ONDA","3","Carrer Balmes, 12200 Onda, Castelló","39.9308717251","-0.10315776",""
"SVB","24H","BRAVO 14","C.S. NULES","3","Av. Europa, 29, 12520 Nules, Castellón","39.848678112","-0.16528845",""
"SVB","24H","BRAVO 15","C.S. VIVER","4","Av. Sta. Cruz, 6, Viver, Castellón","39.9210977554","-0.59998870",""
"SVB","12H N","BRAVO 16","C.S. TORREBLANCA","2","Carrer Galicia, 36, 12596 Torreblanca, Castelló","40.21902680","0.1950609684",""
"SVB","24H","BRAVO 17","C.S. GRAO CASTELLON","2","C/ de Juan Sebastián Elcano, 35, 12100 El Grao de Castellón, Castellón","40.4645347595","0.4493880272",""
"SVB","24H","BRAVO 11","C.S. PTO SAGUNTO","4","Avinguda Hispanitat, 0, 46520 Port de Sagunt, Valencia","39.66524720","-0.22806287",""
"SVB","24H","BRAVO 12","C.S. PUÇOL","4","Carrer del Caminàs, 69, 46530 Puçol, València","39.6154761314","-0.30842185",""
"SVB","12H","BRAVO 14","C.S. GILET","4","Carrer Sogorb, 0, 46590 Estivella, Valencia","39.71424580","-0.34897685",""
"","","","","","","","",""
"SAMU","24H","ALFA 1","H MANISES","23","Aparcamiento, Av. de la Generalitat Valenciana, 50, 46940 Manises, Valencia","39.4855070114","-0.45328259",""
"SAMU","24H","ALFA 2","ALFAHUIR","5","Carrer d'Ismael Merlo, 46020 València, Valencia, España","39.49284400"," -0.359118",""
"SAMU","24H","ALFA 3","LA FE CAMPANAR","7","Carrer d'Alfons Verdeguer, 1, 46008 València, Valencia","39.485013485","-0.39027214",""
"SAMU","24H","ALFA 4","ALFA 4 H GENERAL","9","Av. Tres Cruces, 2, 46014 Valencia","39.4676864147","-0.40889740",""
"SAMU","24H","ALFA 5","CS SILLA","10","C. en Proyecto N.2, 9, 46460 Silla, Valencia","39.3535208702","-0.41074276",""
"SAMU","12H","ALFA 6","H MALVARROSA","5","Carrer d'Isabel de Villena, 2, 46011 València, Valencia, España","39.47500500","-0.32515700",""
"SAMU","12H","ALFA 7","LA FE CAMPANAR","7","Carrer d'Alfons Verdeguer, 1, 46008 València, Valencia","39.485013485","-0.39027214",""
"SAMU","12H","ALFA 8","PATERNA CIUDAD DE ELDA 2","6","Carrer de la Ciutat de Llíria, 5, 46988 Paterna, València","39.5126831532","-0.45599699",""
"SAMU","12H","ALFA 9","LA FE BOULEVAR","7","Plaça Num 155 Res Urb, 102, 46026 Valencia","39.4426560402","-0.37687182",""
"SAMU","24H","ALFA 10","CS TORRENTE","9","Carrer Pintor Ribera, 28, 46900 Torrent, Valencia","39.4348883629","-0.47506213",""
"SAMU","24H","DELTA 1","H SAGUNTO","4","Av. Ramón Y Cajal, s/n, 46520 Port de Sagunt, Valencia","39.674860239","-0.23195744",""
