name;address;zip;city;y;x;region
CENTRO DE SALUD DE ADEMUZ;AVDA. València, 68 46140 ADEMUZ;46140;ADEMUZ;-1.285476498;40.06210888;Racó d'Ademús
CONSULTORIO AUXILIAR DE ADOR;C/CERVANTES, 25 46724 ADOR;46724;ADOR;-0.22541997;38.92059999;La Safor
CENTRO DE SALUD DE AGOST;AVDA. DE ALCOY, 11 3698 AGOST;3698;AGOST;-0.636128493;38.43880428;L'Alacantí
UNIDAD DE ODONTOLOGIA DE AGOST;AVDA. DE ALCOY, S/N 3698 AGOST;3698;AGOST;-0.635775197;38.43800544;L'Alacantí
CONSULTORIO AUXILIAR DE AGRES;PLAÇA DE ESPANYA, 1, 3870 AGRES;3870;AGRES;-0.515610008;38.77997999;El Comtat
CONSULTORIO AUXILIAR DE AGULLENT;DR.FLEMING, 1 46890 AGULLENT;46890;AGULLENT;-0.56009;38.83221006;La Vall d'Albaida
CONSULTORIO AUXILIAR DE AIELO DE MALFERIT;BOCAIRENT, S/N 46812 AIELO DE MALFERIT;46812;AIELO DE MALFERIT;-0.589069625;38.87685933;La Vall d'Albaida
CONSULTORIO AUXILIAR DE AIELO DE RUGAT;ESGLESIA, 22 46842 AIELO DE RUGAT;46842;AIELO DE RUGAT;-0.343270032;38.88197002;La Vall d'Albaida
CONSULTORIO AUXILIAR DE AIGUES;DOCTOR SAPENA, 1 3569 AIGUES;3569;AIGUES;-0.36531921;38.50023369;L'Alacantí
CONSULTORIO AUXILIAR DE AIN;PZA SORRIBES FUSTER, 126 12222 AIN;12222;AIN;-0.341043247;39.90092586;Plana Baixa
CENTRO SANITARIO INTEGRADO DE ALAQUAS;MUSICO FCO. TARREGA, S/N 46970 ALAQUAS;46970;ALAQUAS;-0.457524928;39.45946504;Horta Sud
UNIDAD BÁSICA DE REHABILITACIÓN DEL C.S.I. DE ALAQUAS;PLAZA MUSICO FRANCISCO TARREGA BARBERA, S/N 46970 ALAQUAS;46970;ALAQUAS;-0.457524928;39.45946504;Horta Sud
UNIDAD DE ODONTOLOGIA DE ALAQUAS;PLAZA MUSICO FRANCISCO TARREGA, S/N 46970 ALAQUAS;46970;ALAQUAS;-0.457524928;39.45946504;Horta Sud
CENTRO DE SALUD SEXUAL Y REPRODUCTIVA DE ALAQUAS;PLAZA FRANCISCO TARREGA, S/N 46970 ALAQUAS;46970;ALAQUAS;-0.457524928;39.45946504;Horta Sud
CENTRO DE SALUD DE ALBAIDA;AVDA. ROMERAL, 1 46860 ALBAIDA;46860;ALBAIDA;-0.522969989;38.84048999;La Vall d'Albaida
CENTRO DE SALUD DE ALBAL;C/ REGNE DE València, S/N 46470 ALBAL;46470;ALBAL;-0.414646922;39.39944044;Horta Sud
UNIDAD BÁSICA DE REHABILITACIÓN DEL C.S. DE ALBAL;REGNE DE València, S/N 46470 ALBAL;46470;ALBAL;-0.414646922;39.39944044;Horta Sud
CONSULTORIO AUXILIAR DE ALBALAT DE LA RIBERA;C/ SEQUIA S/N, null 46687 ALBALAT DE LA RIBERA;46687;ALBALAT DE LA RIBERA;-0.387544579;39.20255009;Ribera Baixa
CONSULTORIO AUXILIAR DE ALBALAT DELS SORELLS;GRAN VIA, S/N 46135 ALBALAT DELS SORELLS;46135;ALBALAT DELS SORELLS;-0.354147002;39.551775;Horta Nord
CONSULTORIO AUXILIAR DE ALBALAT DELS TARONGERS;AVDA. ISABEL CRISTOFOL, S/N 46591 ALBALAT DELS TARONGERS;46591;ALBALAT DELS TARONGERS;-0.337373433;39.70383361;Camp de Morvedre
CENTRO DE SALUD DE ALBATERA;CTRA. HONDON, S/N 3340 ALBATERA;3340;ALBATERA;-0.89044;38.21235716;Baix Segura
UNIDAD BÁSICA DE REHABILITACIÓN DEL C.S. DE ALBATERA;CTRA. HONDON, S/N 3340 ALBATERA;3340;ALBATERA;-0.89044;38.21235716;Baix Segura
UNIDAD DE ODONTOLOGIA DE ALBATERA;CTRA. HONDON, S/N 3340 ALBATERA;3340;ALBATERA;-0.89044;38.21235716;Baix Segura
CENTRO DE SALUD DE ALBERIC;ANTONIO LLORET, 60 46260 ALBERIC;46260;ALBERIC;-0.522760023;39.11423;Ribera Alta
UNIDAD BASICA DE REHABILITACION DEL C.S. DE ALBERIC;C/ ANTONIO LLORET, 60 46000 ALBERIC;46000;ALBERIC;-0.522760023;39.11423;Ribera Alta
CENTRO DE SALUD DE ALBOCASSER;HUERTA, 22 12140 ALBOCASSER;12140;ALBOCASSER;0.027311501;40.35559676;Alt Maestrat
CONSULTORIO AUXILIAR DE ALBORACHE;AVDA. DE LA MUSICA, 12 46369 ALBORACHE;46369;ALBORACHE;-0.76977999;39.39099001;La Foia de Bunyol
CENTRO DE SALUD DE ALBORAIA / ALBORAYA;ELS FURS, S/N 46120 ALBORAIA/ALBORAYA;46120;ALBORAIA/ALBORAYA;-0.349334821;39.49894377;Horta Nord
CONSULTORIO AUXILIAR DE ALBORAIA / ALBORAYA PORT SAPLAYA;PLAZA DE LA SEÑORIA, 4 46128 ALBORAIA/ALBORAYA;46128;ALBORAIA/ALBORAYA;-0.35259;39.497;Horta Nord
CONSULTORIO AUXILIAR DE ALBORAIA / ALBORAYA LA PATACONA;MAR MENOR, S/N 46129 ALBORAIA/ALBORAYA;46129;ALBORAIA/ALBORAYA;-0.35259;39.497;Horta Nord
CONSULTORIO AUXILIAR DE ALBORAIA / ALBORAYA RACO DE SANT LLORENS;RACO DE S.LLORENS, 10 46120 ALBORAIA/ALBORAYA;46120;ALBORAIA/ALBORAYA;-0.349334821;39.49894377;Horta Nord
UNIDAD BASICA DE REHABILITACION DEL C.S. DE ALBORAIA / ALBORAYA;ELS FURS, S/N 46120 ALBORAIA/ALBORAYA;46120;ALBORAIA/ALBORAYA;-0.349334821;39.49894377;Horta Nord
UNIDAD DE ODONTOLOGIA DE ALBORAIA / ALBORAYA;ELS FURS, S/N 46120 ALBORAIA/ALBORAYA;46120;ALBORAIA/ALBORAYA;-0.349334821;39.49894377;Horta Nord
CONSULTORIO AUXILIAR DE ALBUIXECH;MAYOR, 54 46550 ALBUIXECH;46550;ALBUIXECH;-0.324019985;39.54530998;Horta Nord
CENTRO DE SALUD DE ALCALA DE XIVERT;C/ VILLANUEVA, 1 12570 ALCALA DE XIVERT;12570;ALCALA DE XIVERT;0.222043597;40.30321998;Baix Maestrat
CONSULTORIO AUXILIAR DE ALCALA DE XIVERT ALCOSSEBRE;C/ RENCH, 48 12579 ALCALA DE XIVERT;12579;ALCALA DE XIVERT;0.276329974;40.24509002;Baix Maestrat
CONSULTORIO DE VERANO DE ALCALA DE XIVERT ALCOSSEBRE LAS FUENTES;AVDA. LAS FUENTES, S/N 12579 ALCALA DE XIVERT;12579;ALCALA DE XIVERT;0.284525784;40.2526857;Baix Maestrat
UNIDAD DE ODONTOLOGIA DE ALCALA DE XIVERT;VILLANUEVA, 1 12570 ALCALA DE XIVERT;12570;ALCALA DE XIVERT;0.222043597;40.30321998;Baix Maestrat
CENTRO DE SALUD MENTAL DE ALCALA DE XIVERT;VILLANUEVA, 1 12570 ALCALA DE XIVERT;12570;ALCALA DE XIVERT;0.222043597;40.30321998;Baix Maestrat
CONSULTORIO AUXILIAR DE ALCALALI LLOSA DE CAMATXO;C/ DENIA, 33 3723 ALCALALI;3723;ALCALALI;-0.004838938;38.77284785;Marina Alta
CONSULTORIO AUXILIAR DE ALCALALI;C/ PORCHE, 15 3728 ALCALALI;3728;ALCALALI;-0.042070029;38.75018999;Marina Alta
CONSULTORIO AUXILIAR DE ALCANTERA DE XUQUER;MARIA MIQUEL, 1 46293 ALCANTERA DE XUQUER;46293;ALCANTERA DE XUQUER;-0.560299969;39.07014002;Ribera Alta
CENTRO DE SALUD DE ALCASSER;ENRIC VALOR, S/N 46290 ALCASSER;46290;ALCASSER;-0.440114499;39.36897004;Horta Sud
UNIDAD BÁSICA DE REHABILITACIÓN DEL C.S. DE ALCASSER;ENRIC VALOR, S/N 46290 ALCASSER;46290;ALCASSER;-0.440114499;39.36897004;Horta Sud
